25	1	0
46	2	0
47	2	0
48	2	0
49	2	0
64	2	0
65	1	0
71	4	0.5
72	3	0
93	5	0.4
94	4	1
95	3	0.67
104	3	0.67
105	4	1
106	3	1.33
113	2	0
134	1	0
162	5	0.8
163	5	0.8
164	4	0.5
179	3	0.67
209	2	0
211	1	0
215	1	0
219	2	0
220	2	0
245	2	1
246	2	1
255	5	0
256	2	0
273	1	0
274	3	0
277	2	0
279	2	0
299	3	0
301	3	0
302	3	0.67
304	4	0.5
305	1	0
320	3	0
321	4	0
330	5	1.2
334	2	1
335	3	0.67
339	2	0
340	2	0
343	1	0
344	3	0
367	5	1.2
368	2	0
373	2	1
384	4	1
385	5	0.8
392	3	0
393	2	0
401	2	0
402	1	0
406	2	0
407	2	0
408	1	0
409	2	0
416	2	0
417	2	0
427	2	0
429	1	0
446	2	0
447	4	0.5
448	3	2
449	5	1.6
450	2	0
451	2	0
463	2	0
464	3	0
477	2	0
480	2	0
481	2	0
488	2	0
489	2	0
496	2	0
497	3	0.67
504	3	0.67
505	2	0
515	1	0
518	1	0
519	1	0
523	2	0
524	2	0
527	3	0
530	2	1
535	3	1.33
536	4	1.5
539	3	0.67
542	1	0
543	3	0.67
552	3	0
553	1	0
557	2	0
558	1	0
572	3	1.33
575	1	0
576	2	0
577	2	0
578	1	0
579	1	0
589	3	0.67
590	2	0
592	1	0
594	1	0
599	2	0
602	2	0
603	2	1
609	2	0
610	1	0
614	2	0
615	2	0
628	2	1
634	2	1
637	5	0.8
638	2	1
646	2	0
647	3	0
653	2	0
654	2	0
656	1	0
660	2	0
670	3	2
671	3	0
674	2	1
676	3	0.67
677	3	0.67
684	2	0
698	2	0
701	3	0.67
704	2	0
713	1	0
717	1	0
724	1	0
728	2	0
729	2	1
733	4	1
739	2	0
740	2	1
742	1	0
755	2	0
756	1	0
789	2	0
793	3	0.67
797	1	0
799	2	0
Average = 0.3
