15	4	3
29	3	2
33	3	2
34	7	2.57
36	7	1.71
38	4	1.5
49	2	0
55	4	3
56	4	3
57	4	3
70	4	3
87	6	2
88	8	1.5
89	6	2
90	3	2
94	3	2
96	4	1.5
98	3	2
99	5	1.6
101	4	1.5
103	8	1.5
113	4	1.5
114	1	0
115	5	4
117	9	3.56
118	7	3.14
119	5	4
120	5	4
122	5	4
126	2	0
128	4	1.5
137	5	1.6
138	4	0.5
139	2	1
140	4	3
141	4	3
142	4	3
143	8	3
145	3	2
146	3	2
148	1	0
152	4	1
153	2	1
154	4	1
160	1	0
172	5	1.6
173	8	4
183	1	0
184	5	2.4
186	4	3
188	5	2.4
189	3	2
190	4	1.5
192	9	4
193	5	1.6
194	3	2
195	3	2
196	3	0.67
197	4	0.5
198	4	1
200	4	1.5
201	1	0
212	6	5
213	6	5
214	13	6.62
215	10	4.2
216	6	5
217	13	6.62
220	2	1
221	2	1
222	4	1
227	7	4.29
229	4	3
230	4	3
231	11	3.82
232	7	4.29
233	3	2
236	3	2
237	9	3.56
238	5	4
240	5	4
241	4	3
242	4	3
243	4	3
244	4	3
245	4	3
246	4	3
247	4	3
250	5	0.8
263	4	1
264	1	0
267	2	0
269	4	1
270	6	2.33
271	5	0.8
276	2	1
277	4	1
278	2	1
288	8	7
289	10	5.8
290	9	6.22
291	11	5.27
292	8	7
293	8	7
294	8	7
295	2	1
296	2	1
297	3	2
298	4	1.5
299	3	2
300	2	1
301	1	0
303	2	1
304	3	0.67
305	2	1
309	4	3
310	4	3
311	4	3
317	3	2
318	9	4
321	6	5
322	6	5
323	6	5
324	6	5
325	6	5
327	8	1.75
328	3	2
329	3	2
330	3	2
334	1	0
340	3	2
344	1	0
346	1	0
352	3	0.67
354	1	0
356	2	1
357	3	0.67
362	3	0.67
365	1	0
366	2	1
367	1	0
368	1	0
369	6	2.33
370	2	1
371	4	3
372	4	3
373	4	3
374	4	3
379	2	1
Average = 2.32
