30	6	0.67
31	2	1
32	2	1
44	2	1
45	6	1.67
46	11	1.45
51	6	0.67
52	1	0
55	8	1.5
56	7	1.71
57	3	0.67
58	2	1
90	1	0
113	1	0
114	3	0.67
120	1	0
121	8	1.75
131	2	0
162	5	2.4
163	1	0
184	4	1
185	2	1
186	6	2.33
191	4	2
192	3	2
193	3	2
194	10	2.2
203	6	2
276	2	1
277	8	4.5
278	8	4.5
301	10	2.8
302	5	1.6
303	7	1.71
304	2	1
316	6	3
317	3	2
326	2	1
328	5	0.8
329	4	1
401	6	5
402	11	3.09
403	7	4.86
404	6	5
405	6	5
416	8	2.75
417	1	0
428	4	1.5
429	1	0
460	3	2
461	3	2
462	3	2
463	5	1.6
499	1	0
546	1	0
547	6	0.67
548	3	2
549	3	2
550	4	2
595	3	2
596	2	0
609	4	2
610	2	1
611	3	2
612	3	2
638	6	2.33
639	4	3
640	1	0
652	5	1.6
653	2	1
655	5	1.6
656	2	1
657	4	1
685	1	0
761	8	2.5
762	2	1
763	2	1
764	6	3
765	6	3
774	5	1.6
775	6	3
776	3	2
840	3	0.67
892	4	3
893	4	1
894	2	1
934	2	1
955	2	1
956	6	3
1008	1	0
1026	4	1.5
1027	1	0
1030	2	1
1130	2	1
1135	5	3.2
1136	4	3
1137	4	3
1138	3	2
1162	6	2.33
1163	2	1
1182	1	0
1189	1	0
1190	2	1
1191	2	1
1239	1	0
1255	3	2
1361	3	2
1362	3	2
1363	1	0
1384	2	1
1385	2	1
1389	2	1
1404	5	4
1405	5	4
1406	5	4
1407	5	4
1408	5	4
1413	4	3
1414	4	3
1415	4	3
1416	3	2
1417	3	2
1461	2	1
Average = 1.7
