network vertex degree correlation:
0	2	2.5
1	3	2
2	4	4
3	4	4
4	4	4
5	4	4
6	4	4
7	4	4
8	1	4
9	6	2.8
10	3	4.33
11	3	4.33
12	7	3.57
13	3	4.33
14	3	4.33
15	3	4.33
16	2	2
17	2	2
18	2	2
19	0	0
20	2	2
21	2	2
22	2	2
23	2	5
24	5	3.4
25	5	3.4
26	0	0
27	2	2
28	2	2
29	2	2
30	10	12.6
31	2	6
32	2	6
33	34	6.67
34	27	8.41
35	5	5
36	5	5
37	5	5
38	5	5
39	5	5
40	5	5
41	0	0
42	1	0
43	1	0
44	2	9
45	6	4.33
46	12	6.18
47	3	4
48	6	7
49	3	4
50	3	4
51	9	11
52	4	20
53	16	10.06
54	21	8.62
55	9	6.25
56	8	6.38
57	3	5.5
58	2	6
59	2	2
60	2	2
61	2	2
62	19	7.26
63	9	7.89
64	7	6.71
65	3	11.67
66	2	2
67	2	2
68	2	2
69	12	5.25
70	3	11
71	11	6.45
72	10	5.6
73	3	4
74	3	4
75	3	4
76	6	3.5
77	3	11
78	27	5.38
79	3	11
80	3	11
81	2	3
82	4	2.67
83	2	3
84	2	2
85	2	2
86	2	2
87	2	3
88	4	2.67
89	0	0
90	1	9
91	2	2
92	2	2
93	2	2
94	9	7.56
95	4	9.75
96	15	5.13
97	11	6.09
98	4	9.75
99	5	8.6
100	4	10
101	0	0
102	2	2
103	2	2
104	2	2
105	2	2.5
106	3	2
107	2	2.5
108	1	0
109	1	0
110	0	0
111	1	0
112	1	0
113	1	3
114	3	4
115	0	0
116	1	5
117	5	4
118	3	2.5
119	1	3
120	1	9
121	9	7
122	2	2
123	2	2
124	2	2
125	0	0
126	6	6.17
127	12	6
128	5	6
129	1	0
130	1	0
131	4	19.25
132	10	13.8
133	8	16.5
134	8	16.5
135	1	7
136	7	5.5
137	1	0
138	1	0
139	9	9
140	9	9
141	9	9
142	9	9
143	9	9
144	9	9
145	9	9
146	9	9
147	9	9
148	9	9
149	4	10.5
150	15	8.6
151	14	7.57
152	2	8
153	3	3
154	3	3
155	3	3
156	3	3
157	2	6.5
158	2	6.5
159	0	0
160	1	0
161	1	0
162	5	7
163	1	5
164	1	0
165	1	0
166	2	0
167	1	2
168	0	0
169	2	2.5
170	2	2.5
171	3	2
172	2	2
173	2	2
174	2	2
175	2	2.5
176	2	2.5
177	3	2
178	0	0
179	2	2
180	2	2
181	2	2
182	1	0
183	1	0
184	4	6.25
185	2	5
186	6	4
187	2	3.5
188	2	3.5
189	5	2.6
190	4	11.5
191	4	7
192	3	6.33
193	3	6.33
194	10	4.4
195	4	4
196	4	4
197	4	4
198	4	4
199	4	4
200	2	4
201	4	4
202	4	4
203	6	6.17
204	0	0
205	1	0
206	1	0
207	4	2
208	2	3
209	2	3
210	2	2
211	2	2
212	2	2
213	2	2
214	2	2
215	2	2
216	19	6.33
217	5	9
218	9	8.11
219	18	7.33
220	6	10.33
221	6	11.67
222	5	11.4
223	2	13
224	5	11
225	6	13.17
226	1	2
227	2	0
228	3	3
229	3	3
230	3	3
231	3	3
232	0	0
233	2	2.5
234	2	2.5
235	3	4.67
236	0	0
237	1	0
238	1	0
239	6	4
240	1	6
241	1	6
242	1	5
243	5	4
244	6	2.75
245	3	3.33
246	1	6
247	4	4.75
248	2	2
249	2	2
250	2	2
251	4	10
252	7	7.29
253	0	0
254	3	5.67
255	3	5.67
256	2	3
257	0	0
258	3	3
259	3	3
260	1	0
261	1	0
262	7	9
263	9	7.89
264	7	9
265	11	7.45
266	11	7.45
267	7	9
268	11	7.45
269	7	9
270	1	0
271	1	0
272	0	0
273	2	3.5
274	2	3.5
275	5	2.6
276	2	8
277	8	6.25
278	8	6.25
279	6	8.33
280	6	8.33
281	17	6.31
282	7	8.17
283	8	6.75
284	6	8.33
285	6	8.33
286	3	2.33
287	2	3
288	3	2.33
289	2	3
290	2	2
291	2	2
292	2	2
293	9	8.78
294	20	5.8
295	0	0
296	4	3.67
297	1	4
298	3	4
299	3	4
300	5	4
301	12	6.5
302	5	6.75
303	7	5.5
304	2	8.5
305	5	11
306	4	12.25
307	9	9.67
308	8	8
309	7	7.86
310	2	11.5
311	1	0
312	1	0
313	2	2.5
314	3	2
315	2	2.5
316	6	6
317	3	8
318	1	2
319	2	0
320	6	3.33
321	4	4
322	3	5
323	5	3.8
324	3	4.67
325	3	4.67
326	3	8.67
327	15	5.67
328	6	7.67
329	5	6.4
330	6	5.33
331	2	10
332	3	3
333	3	3
334	3	3
335	3	3
336	1	6
337	6	6.2
338	3	3
339	3	3
340	3	3
341	3	3
342	3	6
343	10	8.1
344	2	6.5
